SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;ADATEST;0.0729523809523809;0.165078947368421;0.00812497079957765;50;1.5;20;Setting 3
MIDASim;ADATEST;0.0600930866519102;0.504824561403509;0.0163696166101346;200;1.5;20;Setting 4
MIDASim;ADATEST;0.0822649057169181;0.629648606811146;0.025790482626155;50;3;20;Setting 5
MIDASim;ADATEST;0.0817811746097787;0.978333333333333;0.035637387748809;200;3;20;Setting 6
MIDASim;ADATEST;0.111154283761213;0.864273821809425;0.0469029387540103;50;5;20;Setting 7
MIDASim;ADATEST;0.133925970148459;0.995789473684211;0.0682555796167036;200;5;20;Setting 8
MIDASim;ADATEST;0.0366804919567303;0.195775048770665;0.0260062310410608;50;1.5;50;Setting 11
MIDASim;ADATEST;0.0384401768363465;0.557895578231293;0.0699003267973856;200;1.5;50;Setting 12
MIDASim;ADATEST;0.0326699880266512;0.663860192439603;0.0628880227529608;50;3;50;Setting 13
MIDASim;ADATEST;0.0403089041413467;0.977686170212766;0.118478027175783;200;3;50;Setting 14
MIDASim;ADATEST;0.111720212739056;0.715647058184976;0.232860557141517;50;5;50;Setting 15
MIDASim;ADATEST;0.0753465297476662;0.986594557823129;0.254615116221927;200;5;50;Setting 16
MIDASim;ADAPT;0.0595833333333333;0.0815;0.00313380720403192;50;1.5;20;Setting 3
MIDASim;DESeq2;0.159056637806638;0.189;0.00972102297990577;50;1.5;20;Setting 3
MIDASim;ALDEx2;0.0328571428571429;0.093;0.00138894541141407;50;1.5;20;Setting 3
MIDASim;ANCOMBC2;0.22130952;0.08500000  ;0.00882634 ;50;1.5;20;Setting 3
MIDASim;LinDA;0.0864444444444444;0.089;0.003;50;1.5;20;Setting 3
MIDASim;ZicoSeq;0;0;0;50;1.5;20;Setting 3
MIDASim;Corncob;0.111416666666667;0.164;0.00630859576007595;50;1.5;20;Setting 3
MIDASim;ADAPT;0.0731468253968254;0.1375;0.00393905345590739;200;1.5;20;Setting 4
MIDASim;DESeq2;0.101086302586303;0.3615;0.0105487362882154;200;1.5;20;Setting 4
MIDASim;ALDEx2;0.0243888888888889;0.1315;0.00136954087346025;200;1.5;20;Setting 4
MIDASim;ANCOMBC2;0.385503607503608;0.1955;0.0296803247580289;200;1.5;20;Setting 4
MIDASim;LinDA;0.0650991230991231;0.179;0.00427272727272727;200;1.5;20;Setting 4
MIDASim;ZicoSeq;0.00294117647058824;0.00631578947368421;0.000833333333333333;200;1.5;20;Setting 4
MIDASim;Corncob;0.120071650571651;0.348;0.0117134221965346;200;1.5;20;Setting 4
