SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;ADATEST;0.153833333333333;0.0614102564102564;0.0055922979885244;50;1.5;13;Setting 1
MIDASim;ADATEST;0.13460101010101;0.320769230769231;0.0157165457184325;200;1.5;13;Setting 2
MIDASim;ADATEST;0.0848550338550339;0.650728438228438;0.0147756774628642;50;3;13;Setting 3
MIDASim;ADATEST;0.0956690458234576;0.985384615384615;0.0282204843621048;200;3;13;Setting 4
MIDASim;ADATEST;0.0904157092907093;0.772301864801865;0.0209119794199254;50;5;13;Setting 5
MIDASim;ADATEST;0.0811297868797869;0.996363636363636;0.0203946944041284;200;5;13;Setting 6
MIDASim;ADATEST;0.0619285714285714;0.041028762541806;0.00435087347580257;50;1.5;26;Setting 7
MIDASim;ADATEST;0.0886708105276217;0.425230769230769;0.031387314439946;200;1.5;26;Setting 8
MIDASim;ADATEST;0.0722187914424757;0.548596816227251;0.0266451776745126;50;3;26;Setting 9
MIDASim;ADATEST;0.0971490206334284;0.962119565217391;0.0616547619047619;200;3;26;Setting 10
MIDASim;ADATEST;0.0683625393458227;0.868446153846154;0.0439958463689843;50;5;26;Setting 11
MIDASim;ADATEST;0.0930974888323887;0.992748717948718;0.0658660346927356;200;5;26;Setting 12
MIDASim;ADAPT;0.0506666666666667;0.0207692307692308;0.000932152500175328;50;1.5;13;Setting 1
MIDASim;WilcoxCLR;0.0516666666666667;0.0153846153846154;0.000683760683760684;50;1.5;13;Setting 1
MIDASim;WilcoxTSS;0.04;0.0107692307692308;0.000498019801980198;50;1.5;13;Setting 1
MIDASim;ANCOMBC2;0.515;0.0189102564102564;0.0097715498953874;50;1.5;13;Setting 1
MIDASim;DESeq2;0.203880952380952;0.0684615384615385;0.00448758527713516;50;1.5;13;Setting 1
MIDASim;ALDEx2;0.01;0.00692307692307692;9,90E+08;50;1.5;13;Setting 1
MIDASim;LinDA;0.075;0.0153846153846154;0.00111111111111111;50;1.5;13;Setting 1
MIDASim;ZicoSeq;0.187833333;0.084935897;0.008061984;50;1.5;13;Setting 1
MIDASim;Corncob;0.160404761904762;0.0492307692307692;0.0049866339815254;50;1.5;13;Setting 1
MIDASim;camp;0.0616666666666667;0.0123076923076923;0.000769230769230769;50;1.5;13;Setting 1
MIDASim;ADAPT;0.0658975468975469;0.266923076923077;0.00478656647140679;200;1.5;13;Setting 2
MIDASim;WilcoxCLR;0.0755606615606616;0.301538461538462;0.0058974358974359;200;1.5;13;Setting 2
MIDASim;WilcoxTSS;0.0729702380952381;0.368461538461538;0.00520675596971462;200;1.5;13;Setting 2
MIDASim;ANCOMBC2;0.356480158730159;0.198461538461538;0.0160085485156489;200;1.5;13;Setting 2
MIDASim;DESeq2;0.114810078810079;0.553076923076923;0.0105134925257232;200;1.5;13;Setting 2
MIDASim;ALDEx2;0.0366904761904762;0.225384615384615;0.00147350029120559;200;1.5;13;Setting 2
MIDASim;LinDA;0.116010033444816;0.28;0.00829059829059829;200;1.5;13;Setting 2
MIDASim;ZicoSeq;0.0209191176470588;0.0115384615384615;0.00506056673155959;200;1.5;13;Setting 2
MIDASim;Corncob;0.154445748695749;0.433076923076923;0.0122791690933799;200;1.5;13;Setting 2
MIDASim;camp;0.0547515873015873;0.202307692307692;0.00418803418803419;200;1.5;13;Setting 2
MIDASim;ADAPT;0.0579491896991897;0.341538461538462;0.00447764235037519;50;3;13;Setting 3
MIDASim;WilcoxCLR;0.0365119047619048;0.348461538461538;0.00205128205128205;50;3;13;Setting 3
MIDASim;WilcoxTSS;0.0431706349206349;0.393846153846154;0.00358866209797673;50;3;13;Setting 3
MIDASim;ANCOMBC2;0.173900793650794;0.303141025641026;0.00992095956132056;50;3;13;Setting 3
MIDASim;DESeq2;0.113015234765235;0.596153846153846;0.0115529733985546;50;3;13;Setting 3
MIDASim;ALDEx2;0.0238690476190476;0.308461538461538;0.00140737823632303;50;3;13;Setting 3
MIDASim;LinDA;0.100604161361514;0.369230769230769;0.00760683760683761;50;3;13;Setting 3
MIDASim;ZicoSeq;0.004375;0.0075;0.00112903225806452;50;3;13;Setting 3
MIDASim;Corncob;0.118277236652237;0.548461538461538;0.0119011975366947;50;3;13;Setting 3
MIDASim;camp;0.0557261904761905;0.243076923076923;0.00324786324786325;50;3;13;Setting 3
