SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;Adaptive Test;0.0479381443298969;0.1174418767507;0.00253564957858137;50;1.5;20;Setting 3
MIDASim;ADATEST;0.0704285714285714;0.166794117647059;0.00487681106332502;200;1.5;20;Setting 4
MIDASim;ADATEST;0.0431111111111111;0.198162839697282;0.00395976147544217;50;3;20;Setting 5
MIDASim;ADATEST;0.135540720115798;0.656848039215686;0.0318242514222052;200;3;20;Setting 6
MIDASim;ADATEST;0.076130227161155;0.235266384759032;0.00510213974814194;50;5;20;Setting 7
MIDASim;ADATEST;0.145813225259433;0.839989414996768;0.0392053423883377;200;5;20;Setting 8
MIDASim;ADATEST;0.033994708994709;0.0532998335222804;0.00435928962386873;50;1.5;50;Setting 11
MIDASim;ADATEST;0.0242208624708625;0.157376383149214;0.00761503377611553;200;1.5;50;Setting 12
MIDASim;ADATEST;0.0318877905720011;0.130007980574832;0.00793587158353893;50;3;50;Setting 13
MIDASim;ADATEST;0.10402548562184;0.861471789070313;0.125716013358267;200;3;50;Setting 14
MIDASim;ADATEST;0.0254699019797522;0.42684477010416;0.0167723049787253;50;5;50;Setting 15
MIDASim;ADATEST;0.10402548562184;0.861471789070313;0.125716013358267;200;5;50;Setting 16
MIDASim;ADAPT;0.0183333333333333;0.0266578947368421;0.000112334763497554;50;1.5;20;Setting 3
MIDASim;WilcoxCLR;0.0196854926675554;0.026;0.00983164983164983;50;1.5;20;Setting 3
MIDASim;WilcoxTSS;0;0.023;0;50;1.5;20;Setting 3
MIDASim;ANCOMBC2;0.772914890664891;0.0853987358101135;0.0425878609392586;50;1.5;20;Setting 3
MIDASim;DESeq2;0.293619047619048;0.093;0.00232595219933675;50;1.5;20;Setting 3
MIDASim;ALDEx2;0;0.0255;0;50;1.5;20;Setting 3
MIDASim;LinDA;0;0.0185;0;50;1.5;20;Setting 3
MIDASim;Zicoseq;0.0341666667;0.0864886051;0.0008846862;50;1.5;20;Setting 3
MIDASim;corncob;0.045;0.0615;0.0002137544 ;50;1.5;20;Setting 3
MIDASim;ADAPT;0.085;0.0555;0.000678968048970516;200;1.5;20;Setting 4
MIDASim;WilcoxCLR;0.01;0.06;0.0000337;200;1.5;20;Setting 4
MIDASim;WilcoxTSS;0.0233333333333333;0.062;0.0000866;200;1.5;20;Setting 4
MIDASim;ANCOMBC2;0.73921264545568;0.14249914000688;0.0675309314525834;200;1.5;20;Setting 4
MIDASim;DESeq2;0.132666666666667;0.0685;0.000662086324809749;200;1.5;20;Setting 4
MIDASim;ALDEx2;0.005;0.0545;0.0000175;200;1.5;20;Setting 4
MIDASim;LinDA;0.0233333333333333;0.054;0.0000842;200;1.5;20;Setting 4
MIDASim;Zicoseq;0.1075;0.072110423;0.002439759;200;1.5;20;Setting 4
MIDASim;corncob;0.1595;0.0715;0.0006834858;200;1.5;20;Setting 4
MIDASim;ADAPT;0.015;0.0401578947368421;0.0000703;50;3;20;Setting 5
MIDASim;WilcoxCLR;0.0131372549019608;0.0265;0.00338383838383838;50;3;20;Setting 5
MIDASim;WilcoxTSS;0;0.0315;0;50;3;20;Setting 5
MIDASim;ANCOMBC2;0.679127178377178;0.139982456140351;0.0478859557525621;50;3;20;Setting 5
MIDASim;DESeq2;0.248845238095238;0.1205;0.00225656523546924;50;3;20;Setting 5
MIDASim;ALDEx2;0;0.034;0;50;3;20;Setting 5
MIDASim;LinDA;0;0.032;0;50;3;20;Setting 5
MIDASim;Zicoseq;0.0425;0.10995614;0.001381884;50;3;20;Setting 5
MIDASim;corncob;0.0641666667;0.077;0.0004245973;50;3;20;Setting 5
MIDASim;ADAPT;0.049262987012987;0.2315;0.00105621713240319;200;3;20;Setting 6
MIDASim;WilcoxCLR;0.0161666666666667;0.181;0.000117845117845118;200;3;20;Setting 6
MIDASim;WilcoxTSS;0.0127424242424242;0.195;0.000122254443694621;200;3;20;Setting 6
MIDASim;ANCOMBC2;0.47787183282819;0.491143790849673;0.0676658560184589;200;3;20;Setting 6
MIDASim;DESeq2;0.0608568237318237;0.453;0.00110028340118505;200;3;20;Setting 6
MIDASim;ALDEx2;0;0.1505;0;200;3;20;Setting 6
MIDASim;LinDA;0.014833;0.155;0.0001;200;3;20;Setting 6
MIDASim;Zicoseq;0.16042063;0.48111111;0.03920649;200;3;20;Setting 6
MIDASim;corncob;0.069643329;0.379;0.00882634;200;3;20;Setting 6
MIDASim;ADAPT;0.0425;0.0355789473684211;0.000218953747731478;50;5;20;Setting 7
MIDASim;WilcoxCLR;0.029566262466815;0.023;0.012323;50;5;20;Setting 7
MIDASim;WilcoxTSS;0.01;0.0215;0.0000233;50;5;20;Setting 7
MIDASim;ANCOMBC2;0.651416527916528;0.155271757825937;0.0468858926534551;50;5;20;Setting 7
MIDASim;DESeq2;0.260107142857143;0.101;0.00194338103124513;50;5;20;Setting 7
MIDASim;ALDEx2;0.01;0.0135;0.0000233;50;5;20;Setting 7
MIDASim;LinDA;0.015;0.0215;0.0000337;50;5;20;Setting 7
MIDASim;Zicoseq;0.05078;0.10968696;0.00151364;50;5;20;Setting 7
MIDASim;corncob;0.047167;0.062;0.0003175537;50;5;20;Setting 7
MIDASim;ADAPT;0.0519734674510216;0.4865;0.00228997673246217;200;5;20;Setting 8
MIDASim;WilcoxCLR;0.0336803905900971;0.3715;0.00764309764309764;200;5;20;Setting 8
MIDASim;WilcoxTSS;0.0118247863247863;0.401;0.0001931289287745;200;5;20;Setting 8
MIDASim;ANCOMBC2;0.349904844308968;0.767860337117303;0.0670579849727308;200;5;20;Setting 8
MIDASim;DESeq2;0.05171896825225;0.694;0.00147527032978288;200;5;20;Setting 8
MIDASim;ALDEx2;0.004;0.3035;0.0000353;200;5;20;Setting 8
MIDASim;LinDA;0.0159089521589522;0.4315;0.00025253;200;5;20;Setting 8
MIDASim;Zicoseq;0.3195918;0.6435294;0.1805613;200;5;20;Setting 8
MIDASim;corncob;0.073228735;0.618;0.001880859;200;5;20;Setting 8
MIDASim;ADAPT;0.045;0.0106285714285714;0.000228382054437013;50;1.5;50;Setting 11
MIDASim;WilcoxCLR;0.00987179487179487;0.0076;0.00682624113475177;50;1.5;50;Setting 11
MIDASim;WilcoxTSS;0.02;0.00660408163265306;0.0000458;50;1.5;50;Setting 11
MIDASim;ANCOMBC2;0.627039724164724;0.0593820675510414;0.0534496251149963;50;1.5;50;Setting 11
MIDASim;DESeq2;0.191845238095238;0.0522285714285714;0.0018185329227249;50;1.5;50;Setting 11
MIDASim;ALDEx2;0;0.00620408163265306;0;50;1.5;50;Setting 11
MIDASim;LinDA;0.02;0.0078;0.0000355;50;1.5;50;Setting 11
MIDASim;Zicoseq;0.05575;0.0322468;0.00240717;50;1.5;50;Setting 11
MIDASim;corncob;0.04283;0.025616327;0.000224089;50;1.5;50;Setting 11
MIDASim;ADAPT;0.07625;0.0342040816326531;0.0014400265586321;200;1.5;50;Setting 12
MIDASim;WilcoxCLR;0.0234435514734022;0.04;0.00797872340425532;200;1.5;50;Setting 12
MIDASim;WilcoxTSS;0.0153;0.0386;0.0000927;200;1.5;50;Setting 12
MIDASim;ANCOMBC2;0.629475389033052;0.0944221399938329;0.0869280760641081;200;1.5;50;Setting 12
MIDASim;DESeq2;0.052281746031746;0.0844;0.000518482825637701;200;1.5;50;Setting 12
MIDASim;ALDEx2;0;0.0294;0;200;1.5;50;Setting 12
MIDASim;LinDA;0.0083;0.0194;0.0000355;200;1.5;50;Setting 12
MIDASim;Zicoseq;0.086803197;0.086574879;0.007933799;200;1.5;50;Setting 12
MIDASim;corncob;0.081285714;0.0764;0.000833534;200;1.5;50;Setting 12
MIDASim;ADAPT;0.0313;0.00883265306122449;0.000283683882220614;50;3;50;Setting 13
MIDASim;WilcoxCLR;0.0484788034669771;0.0162;0.0269326241134752;50;3;50;Setting 13
MIDASim;WilcoxTSS;0;0.0092;0;50;3;50;Setting 13
MIDASim;ANCOMBC2;0.55582719108377;0.0896294215160344;0.0541712427522815;50;3;50;Setting 13
MIDASim;DESeq2;0.207119047619048;0.0628;0.00199581984873959;50;3;50;Setting 13
MIDASim;ALDEx2;0;0.0074;0;50;3;50;Setting 13
MIDASim;LinDA;0;0.0086;0;50;3;50;Setting 13
MIDASim;Zicoseq;0.091361;0.038021282;0.005512853;50;3;50;Setting 13
MIDASim;corncob;0.046167;0.0362;0.0002492306;50;3;50;Setting 13
MIDASim;ADAPT;0.0520524636380174;0.4866;0.00550033574644029;200;3;50;Setting 14
MIDASim;WilcoxCLR;0.536330315517286;0.4928;0.363085106382979;200;3;50;Setting 14
MIDASim;WilcoxTSS;0.0155313579565307;0.4606;0.000703127467901991;200;3;50;Setting 14
MIDASim;ANCOMBC2;0.195810080085437;0.700030680924513;0.0876293416998257;200;3;50;Setting 14
MIDASim;DESeq2;0.0692754653919653;0.6656;0.00463452545419655;200;3;50;Setting 14
MIDASim;ALDEx2;0.00108823529411765;0.3732;0.0000365;200;3;50;Setting 14
MIDASim;LinDA;0.0185619378294288;0.4658;0.000815602836879433;200;3;50;Setting 14
MIDASim;Zicoseq;0.3725991;0.5738681;0.2544521;200;3;50;Setting 14
MIDASim;corncob;0.075116491;0.6326;0.004841307;200;3;50;Setting 14
MIDASim;ADAPT;0.0837537185037185;0.0649525835866261;0.00155299248101803;50;5;50;Setting 15
MIDASim;WilcoxCLR;0.0959627569270715;0.0946;0.0518617021276596;50;5;50;Setting 15
MIDASim;WilcoxTSS;0.0113452380952381;0.0948326530612245;0.000161411019153885;50;5;50;Setting 15
MIDASim;ANCOMBC2;0.413446588164905;0.158349252235584;0.0577337613311548;50;5;50;Setting 15
MIDASim;DESeq2;0.103236371042099;0.216228571428571;0.00295802792001987;50;5;50;Setting 15
MIDASim;ALDEx2;0.00167;0.0674122448979592;0.0000225;50;5;50;Setting 15
MIDASim;LinDA;0.01033;0.0572;0.0000709;50;5;50;Setting 15
MIDASim;Zicoseq;0.1761572;0.176689;0.0240078;50;5;50;Setting 15
MIDASim;corncob;0.0371177834;0.1986285714;0.0009452109;50;5;50;Setting 15
MIDASim;ADAPT;0.0520524636380174;0.4866;0.00550033574644029;200;5;50;Setting 16
MIDASim;WilcoxCLR;0.536330315517286;0.4928;0.363085106382979;200;5;50;Setting 16
MIDASim;WilcoxTSS;0.0155313579565307;0.4606;0.000703127467901991;200;5;50;Setting 16
MIDASim;ANCOMBC2;0.195810080085437;0.700030680924513;0.0876293416998257;200;5;50;Setting 16
MIDASim;DESeq2;0.0692754653919653;0.6656;0.00463452545419655;200;5;50;Setting 16
MIDASim;ALDEx2;0.00108823529411765;0.3736;0.0000365;200;5;50;Setting 16
MIDASim;LinDA;0.0185619378294288;0.4658;0.000815602836879433;200;5;50;Setting 16
MIDASim;Zicoseq;0.3659884;0.5794441;0.2539460;200;5;50;Setting 16
MIDASim;corncob;0.075116491;0.6326;0.004841307;200;5;50;Setting 16
MIDASim;camp;0;0.009;0;50;1.5;20;Setting 3
MIDASim;camp;0.0166666666666667;0.055;0.0000673;200;1.5;20;Setting 4
MIDASim;camp;0.01;0.0145;0.0000168;50;3;20;Setting 5
MIDASim;camp;0.007;0.0945;0.0000505;200;3;20;Setting 6
MIDASim;camp;0.01;0.013;0.0000168;50;5;20;Setting 7
MIDASim;camp;0.00576190476190476;0.281;0.0000673;200;5;20;Setting 8
MIDASim;camp;0;0.0048;0;50;1.5;50;Setting 11
MIDASim;camp;0.01;0.0142;0.0000355;200;1.5;50;Setting 12
MIDASim;camp;0;0.0068;0;50;3;50;Setting 13
MIDASim;camp;0.0152368632017426;0.3312;0.00049645390070922;200;3;50;Setting 14
MIDASim;camp;0.0115;0.0482;0.0000709;50;5;50;Setting 15
MIDASim;camp;0.0152368632017426;0.3312;0.00049645390070922;200;5;50;Setting 16
MIDASim;MaAsLin2;0.025;0.0324518403852769;0.000289376791178899;50;1.5;20;Setting 3
MIDASim;MaAsLin2;0.0616666666666667;0.0610526315789474;0.000791808160577873;200;1.5;20;Setting 4
MIDASim;MaAsLin2;0.0291666666666667;0.0541052631578947;0.000330708287955963;50;3;20;Setting 5
MIDASim;MaAsLin2;0.0489523809523809;0.232380116959064;0.00145145585075744;200;3;20;Setting 6
MIDASim;MaAsLin2;0.02975;0.0559970760233918;0.00047432904153835;50;5;20;Setting 7
MIDASim;MaAsLin2;0.0429685910494734;0.544421052631579;0.00316941280282679;200;5;20;Setting 8
MIDASim;MaAsLin2;0.0233333333333333;0.0146469324825212;0.000197143767049621;50;1.5;50;Setting 11
MIDASim;MaAsLin2;0.0352619047619048;0.033841156462585;0.000730607497867887;200;1.5;50;Setting 12
MIDASim;MaAsLin2;0.00866666666666667;0.0227411166594297;0.000216991846926075;50;3;50;Setting 13
MIDASim;MaAsLin2;0.0433933825537185;0.576157874731761;0.00876624848701597;200;3;50;Setting 14
MIDASim;MaAsLin2;0.0185104427736007;0.149400318425242;0.00124866052517572;50;5;50;Setting 15
MIDASim;MaAsLin2;0.0433933825537185;0.576157874731761;0.00876624848701597;200;5;50;Setting 16
